domain,file,symbol,layer,role,calls_internal,called_by_internal,delegation_depth,decision_count,statement_count,has_branching,has_persistence,has_error_handling,superset_of,chain
policies,plan_generation_engine,PlanGenerationEngine.generate,L5,CANONICAL,dsl_parser:Parser.error | policy_limits_engine:PolicyLimitsService.get | policy_rules_engine:PolicyRulesService.get | snapshot_engine:PolicySnapshotRegistry.get,plan_generation_engine:generate_plan_for_run,12,2,11,yes,no,no,dsl_parser:Parser.error | policy_limits_engine:PolicyLimitsService.get | policy_rules_engine:PolicyRulesService.get | snapshot_engine:PolicySnapshotRegistry.get,plan_generation_engine.PlanGenerationEngine.generate → dsl_parser.Parser.error → policy_limits_engine.PolicyLimitsService.get → policy_rules_engine.PolicyRulesService.get → ...+1
policies,plan_generation_engine,generate_plan_for_run,L5,ENTRY,eligibility_engine:DefaultSystemHealthLookup.get_status | eligibility_engine:SystemHealthLookup.get_status | plan_generation_engine:PlanGenerationEngine.generate,,13,0,5,no,no,no,,plan_generation_engine.generate_plan_for_run → eligibility_engine.DefaultSystemHealthLookup.get_status → eligibility_engine.SystemHealthLookup.get_status → plan_generation_engine.PlanGenerationEngine.generate
policies,policies_limits_query_engine,LimitsQueryEngine.__init__,L5,WRAPPER,,compiler_parser:ParseError.__init__ | dsl_parser:ParseError.__init__ | interpreter:EvaluationError.__init__ | ir_compiler:OptimizingIRCompiler.__init__ | phase_status_invariants:PhaseStatusInvariantEnforcementError.__init__ | policy_proposal_engine:PolicyActivationBlockedError.__init__ | policy_proposal_engine:PolicyDeletionBlockedError.__init__ | prevention_engine:PolicyViolationError.__init__ | snapshot_engine:PolicySnapshotError.__init__ | tokenizer:TokenizerError.__init__,0,0,1,no,no,no,,policies_limits_query_engine.LimitsQueryEngine.__init__
policies,policies_limits_query_engine,LimitsQueryEngine.get_limit_detail,L5,LEAF,,,0,1,3,yes,no,no,,policies_limits_query_engine.LimitsQueryEngine.get_limit_detail
policies,policies_limits_query_engine,LimitsQueryEngine.list_budgets,L5,LEAF,,,0,1,5,yes,no,no,,policies_limits_query_engine.LimitsQueryEngine.list_budgets
policies,policies_limits_query_engine,LimitsQueryEngine.list_limits,L5,LEAF,,,0,5,9,yes,no,no,,policies_limits_query_engine.LimitsQueryEngine.list_limits
policies,policies_limits_query_engine,get_limits_query_engine,L5,WRAPPER,,,0,0,1,no,no,no,,policies_limits_query_engine.get_limits_query_engine
policies,policies_proposals_query_engine,ProposalsQueryEngine.__init__,L5,WRAPPER,,compiler_parser:ParseError.__init__ | dsl_parser:ParseError.__init__ | interpreter:EvaluationError.__init__ | ir_compiler:OptimizingIRCompiler.__init__ | phase_status_invariants:PhaseStatusInvariantEnforcementError.__init__ | policy_proposal_engine:PolicyActivationBlockedError.__init__ | policy_proposal_engine:PolicyDeletionBlockedError.__init__ | prevention_engine:PolicyViolationError.__init__ | snapshot_engine:PolicySnapshotError.__init__ | tokenizer:TokenizerError.__init__,0,0,1,no,no,no,,policies_proposals_query_engine.ProposalsQueryEngine.__init__
policies,policies_proposals_query_engine,ProposalsQueryEngine.count_drafts,L5,WRAPPER,proposals_read_driver:ProposalsReadDriver.count_draft_proposals,,12,0,1,no,no,no,,policies_proposals_query_engine.ProposalsQueryEngine.count_drafts → proposals_read_driver.ProposalsReadDriver.count_draft_proposals
policies,policies_proposals_query_engine,ProposalsQueryEngine.get_policy_request_detail,L5,ENTRY,policy_proposal_read_driver:PolicyProposalReadDriver.fetch_proposal_by_id | proposals_read_driver:ProposalsReadDriver.fetch_proposal_by_id,,12,1,3,yes,no,no,policy_proposal_read_driver:PolicyProposalReadDriver.fetch_proposal_by_id | proposals_read_driver:ProposalsReadDriver.fetch_proposal_by_id,policies_proposals_query_engine.ProposalsQueryEngine.get_policy_request_detail → policy_proposal_read_driver.PolicyProposalReadDriver.fetch_proposal_by_id → proposals_read_driver.ProposalsReadDriver.fetch_proposal_by_id
